repo,bugfix_commit,bugfix_subject,bugfix_file,matched_security_event_id,matched_security_commit,matched_security_file,bugfix_file_in_changed_files,changed_source_files_count,changed_source_files_sample,commit_message_full,has_security_ids,has_security_keyword_signal,has_security_adjacent_signal,review_decision,review_notes
jq,0673dee1b38db5d49ae3f8cda0ba53fa4021c3ba,Fix destructuring alternation,src/execute.c,CVE-2024-23337,de21386681c0df0104a99d9d09db23a9b2a78b1e,src/jv.c,1,3,src/compile.c;src/execute.c;src/opcode_list.h,"Fix destructuring alternation

Attempting to use the existing FORK_OPT opcode resulted in difficulty
knowing when to pop an error message off the stack and when not to. This
commit makes DESTRUCTURE_ALT a real opcode that is identical to
FORK_OPT, except for never pushing the error message onto the stack when
continuing from an error backtrack.

Some small changes were necessary to the DUP/POP behavior surrounding
destructuring to accomodate this.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,0f80921268edcc3d502e6d84612ba71fed6b0947,Fix constant folding of division and reminder with zero divisor,src/compile.c,CVE-2024-53427,a09a4dfd55e6c24d04b35062ccfe4509748b1dd3,src/jv.c,1,4,src/builtin.c;src/compile.c;src/compile.h;src/parser.c,"Fix constant folding of division and reminder with zero divisor

Previously constant folding of zero division (e.x. 1/0) produces a
compile error. This was incorrectly implemented by checking if the
division result is infinite, so produces wrong results compared to the
query where no constant folding is processed (e.x. 1e308/0.1). This
patch delays the operation when the divisor is zero. This makes the
results more consistent, but changes the exit code on zero division from
3 to 5. Also 0/0 now produces the zero division error, not NaN.

This patch also fixes the modulo operation. Previously constant folding
logic does not take care of the % operator, but now it folds if the both
dividend and divisor are safe numbers to cast to the integer type, and
the divisor is not zero. This patch also fixes some code that relies on
undefined cast behaviors in C. The modulo operation produces NaN if
either the dividend or divisor is NaN.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,34182cca7babec086bbc93dec209275be896ca9e,Fix Windows build for 1.7 release (pthread stuff),src/jv_dtoa_tsd.c,OSV-2024-330,6ce6e7c71355a0b6006e9e3371364f6945da5a29,src/decNumber/decNumber.c,1,3,src/jv.c;src/jv_dtoa_tsd.c;src/jv_thread.h,Fix Windows build for 1.7 release (pthread stuff),0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,4e3088f1888f367ce744d830423848d15a03f5d0,Fix behavior of `--slurp --stream` when input has no trailing newline character (#3279),src/util.c,CVE-2024-23337,de21386681c0df0104a99d9d09db23a9b2a78b1e,src/jv_aux.c,1,1,src/util.c,"Fix behavior of `--slurp --stream` when input has no trailing newline character (#3279)

This commit fixes a strange behavior of the combination of `--slurp` and
`--stream` flags when the input has no trailing newline character.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,695830c453113ea4cf6b62c76046945ac24b0296,Fix year 2038 problem on 32-bit platforms (fix #3369) (#3407),src/builtin.c,CVE-2025-49014,499c91bca9d4d027833bc62787d1bb075c03680e,src/builtin.c,1,1,src/builtin.c,Fix year 2038 problem on 32-bit platforms (fix #3369) (#3407),0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,750dbe723b29b2023b83489af9683f4fe8a40cbe,Fix memory leaks and double frees (#3487),src/execute.c,GHSA-GF4G-95WJ-4Q4R,3985b80ce50bd75c6eb5a97cb3348c3f835ca8e0,src/execute.c,1,6,src/execute.c;src/jv.c;src/jv_aux.c;src/jv_file.c;src/linker.c;src/main.c,Fix memory leaks and double frees (#3487),0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,8001955fb76f784480fba3300fea602012ee9446,Fix memory leak in libm cfunctions,src/builtin.c,GHSA-F946-J5J2-4W5M,5e159b34b179417e3e0404108190a2ac7d65611c,src/main.c,1,1,src/builtin.c,Fix memory leak in libm cfunctions,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,8537b93a4301ecac98fb7dad92bba9cfd17a1f37,Fix block flipping in block_drop_unreferenced,src/compile.c,CVE-2023-50268,c9a51565214eece8f1053089739aea73145bfd6b,src/jv.c,1,1,src/compile.c,"Fix block flipping in block_drop_unreferenced

Since 605bfb3, block_drop_unreferenced actually reverses the order of
instructions in the block it's run against. This bug was hidden by the
fact that normally it's run *twice* against the main program, flipping
it back, and that order of function definitionss doesn't really matter
after symbol resolution.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,860af44fee7dcea8797daeb836a9b7c971c67e65,Fix typos (#3173),src/jv.c,CVE-2023-50246,71c2ab509a8628dbbad4bc7b3f98a64aa90d3297,src/jv.c,1,1,src/jv.c,Fix typos (#3173),0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,a03ae02f4489e35cc874bb529570092414eee729,Fix memory leak,src/execute.c,OSV-2023-1329,b86ff49f46a4a37e5a8e75a140cb5fd6e1331384,src/jv.c,1,1,src/execute.c,Fix memory leak,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,a8ce2ff09af51b39be0d76091e6117caccd1b5c0,Avoid zero-length `calloc` (#3280),src/jv_aux.c,OSV-2024-330,6ce6e7c71355a0b6006e9e3371364f6945da5a29,src/util.c,1,5,src/builtin.c;src/compile.c;src/jv_alloc.c;src/jv_alloc.h;src/jv_aux.c,"Avoid zero-length `calloc` (#3280)

Using `calloc` function with a count of zero elements is implementation
defined and it may cause allocation errors on some platforms (ref #3277).
This commit fixes `jv_mem_calloc` callers to avoid undefined behavior.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
