repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes,changed_source_files_full,changed_source_files_review_count,case_file_in_changed_files,multi_file_fix,commit_message_full,commit_mentions_event_id,message_has_security_signal,source_has_explicit_id,source_has_nvd_ref,source_has_osv_ref,source_has_osv_range,event_commit_review,file_review,overall_review
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2015-3148,curl:curl-7_37_0:CVE-2015-3148,2015-04-21T21:20:37+00:00,fixed_commit_epoch,explicit_id,CVE-2015-3148,79b9d5f1a42578f807a6c94914bc65cbaa304b6d,http_done: close Negotiate connections when done,lib/http.c,lib/ssh.c,1,lib/http.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,lib/http.c,1,1,0,"http_done: close Negotiate connections when done

When doing HTTP requests Negotiate authenticated, the entire connnection
may become authenticated and not just the specific HTTP request which is
otherwise how HTTP works, as Negotiate can basically use NTLM under the
hood. curl was not adhering to this fact but would assume that such
requests would also be authenticated per request.

CVE-2015-3148

Bug: http://curl.haxx.se/docs/adv_20150422B.html
Reported-by: Isaac Boukris",1,1,1,0,0,0,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8617,curl:curl-7_50_0:CVE-2016-8617,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8617;CVE-2016-8617,efd24d57426bd77c9b5860e6b297904703750412,base64: check for integer overflow on large input,lib/base64.c,src/tool_cb_dbg.c,1,lib/base64.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,lib/base64.c,1,1,0,"base64: check for integer overflow on large input

CVE-2016-8617

Bug: https://curl.haxx.se/docs/adv_20161102C.html
Reported-by: Cure53",1,1,1,0,0,1,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8619,curl:curl-7_50_0:CVE-2016-8619,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8619;CVE-2016-8619,3d6460edeee21d7d790ec570d0887bed1f4366dd,krb5: avoid realloc(0),lib/security.c,lib/select.c,1,lib/security.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,lib/security.c,1,1,0,"krb5: avoid realloc(0)

If the requested size is zero, bail out with error instead of doing a
realloc() that would cause a double-free: realloc(0) acts as a free()
and then there's a second free in the cleanup path.

CVE-2016-8619

Bug: https://curl.haxx.se/docs/adv_20161102E.html
Reported-by: Cure53",1,1,1,0,0,1,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8621,curl:curl-7_50_0:CVE-2016-8621,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8621;CVE-2016-8621,96a80b5a262fb6dd2ddcea7987296f3b9a405618,parsedate: handle cut off numbers better,lib/parsedate.c,src/tool_help.c,1,lib/parsedate.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,lib/parsedate.c,1,1,0,"parsedate: handle cut off numbers better

... and don't read outside of the given buffer!

CVE-2016-8621

bug: https://curl.haxx.se/docs/adv_20161102G.html
Reported-by: Luật Nguyễn",1,1,1,0,0,1,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8625,curl:curl-7_50_0:CVE-2016-8625,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8625;CVE-2016-8625,9c91ec778104ae3b744b39444d544e82d5ee9ece,idn: switch to libidn2 use and IDNA2008 support,lib/curl_setup.h,lib/config-tpf.h,6,lib/curl_setup.h;lib/easy.c;lib/strerror.c;lib/strerror.h;lib/url.c;lib/version.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,lib/curl_setup.h;lib/easy.c;lib/strerror.c;lib/strerror.h;lib/url.c;lib/version.c,6,1,1,"idn: switch to libidn2 use and IDNA2008 support

CVE-2016-8625

Bug: https://curl.haxx.se/docs/adv_20161102K.html
Reported-by: Christian Heimes",1,1,1,0,0,1,accept,ambiguous,ambiguous
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-1000257,curl:curl-7_50_0:CVE-2017-1000257,2017-10-12T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2017-1000257;CVE-2017-1000257,13c9a9ded3ae744a1e11cbc14e9146d9fa427040,"imap: if a FETCH response has no size, don't call write callback",lib/imap.c,lib/formdata.c,1,lib/imap.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,lib/imap.c,1,1,0,"imap: if a FETCH response has no size, don't call write callback

CVE-2017-1000257

Reported-by: Brian Carpenter and 0xd34db347
Also detected by OSS-Fuzz: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=3586",1,1,1,0,0,1,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-7407,curl:curl-7_50_0:CVE-2017-7407,2017-04-03T08:00:00+00:00,nvd_published+osv_published,nvd_ref+osv_range+osv_ref,CURL-CVE-2017-7407;CVE-2017-7407,1890d59905414ab84a35892b2e45833654aa5c13,tool_writeout: fixed a buffer read overrun on --write-out,src/tool_writeout.c,lib/getinfo.c,1,src/tool_writeout.c,,Advisory record resolves to an explicit fixing commit reference.,src/tool_writeout.c,1,1,0,"tool_writeout: fixed a buffer read overrun on --write-out

If a % ended the statement, the string's trailing NUL would be skipped
and memory past the end of the buffer would be accessed and potentially
displayed as part of the --write-out output. Added tests 1440 and 1441
to check for this kind of condition.

Reported-by: Brian Carpenter",0,1,0,1,1,1,accept,accept,accept
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-7468,curl:curl-7_50_0:CVE-2017-7468,2017-04-19T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2017-7468;CVE-2017-7468,33cfcfd9f0378625d3bddbd2c8ac5aad4b646f26,TLS: Fix switching off SSL session id when client cert is used,lib/vtls/axtls.c,lib/vauth/digest.c,12,lib/url.c;lib/urldata.h;lib/vtls/axtls.c;lib/vtls/cyassl.c;lib/vtls/darwinssl.c;lib/vtls/gtls.c;lib/vtls/mbedtls.c;lib/vtls/nss.c;lib/vtls/openssl.c;lib/vtls/polarssl.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,lib/url.c;lib/urldata.h;lib/vtls/axtls.c;lib/vtls/cyassl.c;lib/vtls/darwinssl.c;lib/vtls/gtls.c;lib/vtls/mbedtls.c;lib/vtls/nss.c;lib/vtls/openssl.c;lib/vtls/polarssl.c;lib/vtls/schannel.c;lib/vtls/vtls.c,12,1,1,"TLS: Fix switching off SSL session id when client cert is used

Move the sessionid flag to ssl_primary_config so that ssl and proxy_ssl
will each have their own sessionid flag.

Regression since HTTPS-Proxy support was added in cb4e2be. Prior to that
this issue had been fixed in 247d890, CVE-2016-5419.

Bug: https://github.com/curl/curl/issues/1341
Reported-by: lijian996@users.noreply.github.com

The new incarnation of this bug is called CVE-2017-7468 and is documented
here: https://curl.haxx.se/docs/adv_20170419.html",1,1,1,0,0,1,accept,ambiguous,ambiguous
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2018-0500,curl:curl-7_50_0:CVE-2018-0500,2018-07-11T08:00:00+00:00,nvd_published+osv_published,explicit_id+nvd_ref+osv_range+osv_ref,CURL-CVE-2018-0500;CVE-2018-0500,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,smtp: use the upload buffer size for scratch buffer malloc,lib/smtp.c,lib/x509asn1.c,1,lib/smtp.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,lib/smtp.c,1,1,0,"smtp: use the upload buffer size for scratch buffer malloc

... not the read buffer size, as that can be set smaller and thus cause
a buffer overflow! CVE-2018-0500

Reported-by: Peter Wu
Bug: https://curl.haxx.se/docs/adv_2018-70a2.html",1,1,1,1,1,1,accept,accept,accept
curl,curl-7_61_1,2018-09-04T21:49:50+00:00,CVE-2018-16839,curl:curl-7_61_1:CVE-2018-16839,2018-10-31T08:00:00+00:00,nvd_published+osv_published,explicit_id+nvd_ref+osv_range+osv_ref,CURL-CVE-2018-16839;CVE-2018-16839,f3a24d7916b9173c69a3e0ee790102993833d6c5,Curl_auth_create_plain_message: fix too-large-input-check,lib/vauth/cleartext.c,lib/vauth/cram.c,1,lib/vauth/cleartext.c,,Commit message or body links the fix explicitly to a vulnerability identifier.,lib/vauth/cleartext.c,1,1,0,"Curl_auth_create_plain_message: fix too-large-input-check

CVE-2018-16839
Reported-by: Harry Sintonen
Bug: https://curl.haxx.se/docs/CVE-2018-16839.html",1,1,1,1,1,1,accept,accept,accept
